,abbreviation,expansion
0,AK,Alaska
1,AL,Alabama
2,AR,Arkansas
3,AZ,Arizona
4,CA,California
5,CO,Colorado
6,CT,Connecticut
7,DC,District of Columbia
8,DE,Delaware
9,FL,Florida
10,GA,Georgia
11,GU,Guam
12,HI,Hawaii
13,IA,Iowa
14,ID,Idaho
15,IL,Illinois
16,KS,Kansas
17,KY,Kentucky
18,LA,Louisiana
19,MA,Massachusetts
20,MD,Maryland
21,ME,Maine
22,MI,Michigan
23,MN,Minnesota
24,MO,Missouri
25,MP,Northern Mariana Islands
26,MS,Mississippi
27,MT,Montana
28,NC,North Carolina
29,ND,North Dakota
30,NE,Nebraska
31,NH,New Hampshire
32,NJ,New Jersey
33,NM,New Mexico
34,NV,Nevada
35,NY,New York
36,OH,Ohio
37,OK,Oklahoma
38,OR,Oregon
39,PA,Pennsylvania
40,PR,Puerto Rico
41,PW,Palau
42,RI,Rhode Island
43,SC,South Carolina
44,SD,South Dakota
45,TN,Tennessee
46,TX,Texas
47,UT,Utah
48,VA,Virginia
49,VI,Virgin Islands
50,VT,Vermont
51,WA,Washington
52,WI,Wisconsin
53,WV,West Virginia
54,WY,Wyoming
55,AB,Alberta
56,BC,British Columbia
57,MB,Manitoba
58,NB,New Brunswick
59,NL,Newfoundland and Labrador
60,NS,Nova Scotia
61,NT,Northwest Territories
62,NU,Nunavut
63,ON,Ontario
64,PE,Prince Edward Island
65,QC,Quebec
66,SK,Saskatchewan
67,YT,Yukon
68,UK,United Kingdom
69,USA,United States
70,U.S.A,United States
