,abbreviation,expansion
0,'cause,because
1,1st,first
2,2nd,second
3,3rd,third
4,4th,fourth
5,ain't,are not
6,aint,are not
7,aren't,are not
8,arent,are not
9,b/c,because
10,bc,because
11,can't,can not
12,can't've,can not have
13,cant,can not
14,cause,because
15,could've,could have
16,couldn't,could not
17,couldn't've,could not have
18,couldnt,could not
19,couldve,could have
20,didn't,did not
21,didnt,did not
22,doesn't,does not
23,doesnt,does not
24,don't,do not
25,dont,do not
26,hadn't,had not
27,hadn't've,had not have
28,hadnt,had not
29,hasn't,has not
30,hasnt,has not
31,haven't,have not
32,havent,have not
33,he'd,he would
34,he'd've,he would have
35,he'll,he will
36,he'll've,he will have
37,he's,he is
38,hes,he is
39,how'd,how did
40,how'd'y,how do you
41,how'll,how will
42,how's,how is
43,howd,how did
44,howdy,how do you
45,howll,how will
46,hows,how is
47,i'd,i would
48,i'd've,i would have
49,i'll,i will
50,i'll've,i will have
51,i'm,i am
52,i've,i have
53,id,i would
54,ida,i would have
55,im,i am
56,isn't,is not
57,isnt,is not
58,it'd,it had
59,it'd've,it would have
60,it'll,it will
61,it'll've,it will have
62,it's,it is
63,itd,it had
64,itll,it will
65,its,it is
66,ive,i have
67,let's,let us
68,lets,let us
69,ma'am,madam
70,maam,madam
71,mayn't,may not
72,might've,might have
73,mighta,might have
74,mightn't,might not
75,mightn't've,might not have
76,mightnt,might not
77,mightve,might have
78,must've,must have
79,musta,must have
80,mustn't,must not
81,mustn't've,must not have
82,mustnt,must not
83,mustve,must have
84,needn't,need not
85,needn't've,need not have
86,neednt,need not
87,o'clock,of the clock
88,oclock,of the clock
89,oughtn't,ought not
90,oughtn't've,ought not have
91,sha'n't,shall not
92,shan't,shall not
93,shan't've,shall not have
94,she'd,she would
95,she'd've,she would have
96,she'll,she will
97,she'll've,she will have
98,she's,she is
99,shes,she is
100,should've,should have
101,shoulda,should have
102,shouldn't,should not
103,shouldn't've,should not have
104,shouldnt,should not
105,shouldve,should have
106,so'd,so did
107,so's,so is
108,so've,so have
109,that'd,that would
110,that'd've,that would have
111,that's,that is
112,thatd,that would
113,thats,that is
114,there'd,there had
115,there'd've,there would have
116,there's,there is
117,thered,there had
118,theres,there is
119,they'd,they would
120,they'd've,they would have
121,they'll,they will
122,they'll've,they will have
123,they're,they are
124,they've,they have
125,theyd,they would
126,theyda,they would have
127,theyll,they will
128,theyre,they are
129,theyve,they have
130,to've,to have
131,wasn't,was not
132,wasnt,was not
133,we'd,we had
134,we'd've,we would have
135,we'll,we will
136,we'll've,we will have
137,we're,we are
138,we've,we have
139,weren't,were not
140,werent,were not
141,weve,we have
142,what'll,what will
143,what'll've,what will have
144,what're,what are
145,what's,what is
146,what've,what have
147,whatll,what will
148,whatllve,what will have
149,whatre,what are
150,whats,what is
151,whatve,what have
152,when's,when is
153,when've,when have
154,whens,when is
155,whenve,when have
156,where'd,where did
157,where's,where is
158,where've,where have
159,whered,where did
160,whereve,where have
161,whers,where is
162,who'll,who will
163,who'll've,who will have
164,who's,who is
165,who've,who have
166,wholl,who will
167,whollve,who will have
168,whos,who is
169,whove,who have
170,why's,why is
171,why've,why have
172,whys,why is
173,whyve,why have
174,will've,will have
175,willve,will have
176,won't,will not
177,won't've,will not have
178,wont,will not
179,wontve,will not have
180,would've,would have
181,wouldn't,would not
182,wouldn't've,would not have
183,wouldnt,would not
184,wouldntve,would not have
185,wouldve,would have
186,y'all,you all
187,y'all'd,you all would
188,y'all'd've,you all would have
189,y'all're,you all are
190,y'all've,you all have
191,y'alls,you alls
192,yall,you all
193,yalld,you all would
194,yalldve,you all would have
195,yallre,you all are
196,yalls,you alls
197,yallve,you all have
198,you'd,you had
199,you'd've,you would have
200,you'da,you would have
201,you'll,you you will
202,you'll've,you you will have
203,you're,you are
204,you've,you have
205,youd,you had
206,youda,you would have
207,youdve,you would have
208,youll,you you will
209,youllve,you you will have
210,youre,you are
211,youve,you have
212,2f4u,too fast for you
213,4yeo,for your eyes only
214,aamof,as a matter of fact
215,ack,acknowledgment
216,afaik,as far as i know
217,afair,as far as i recall
218,afk,away from keyboard
219,aka,also known as
220,ama,ask me anything
221,b2k btk,back to keyboard
222,bff,best friends forever
223,brah,bro
224,brb,be right back
225,bs,bullshit
226,btt,back to topic
227,btw,by the way
228,c&p,copy and paste
229,cu,see you
230,cys,check your settings
231,dgaf,don’t give a fuck
232,dgmw,do not get me wrong
233,diy,do it yourself
234,dtf,down to fuck
235,eobd,end of business day
236,eod,end of discussion
237,eom,end of message
238,eot,end of transmission
239,fack,full acknowledge
240,faq,frequently asked questions
241,fb,facebook
242,fbf,flashback friday
243,fbo,facebook official
244,ffs,for fuck sake
245,fka,formerly known as
246,fomo,fear of missing out
247,ftw,for the win
248,fu,fuck you
249,fvck,fuck
250,fwiw,for what it's worth
251,fyeo,for your eyes only
252,fyi,for your information
253,gg,good game
254,gtfo,get the fuck out
255,gtg,got to go
256,hbd,happy birthday
257,hf,have fun
258,hmb,hit me back
259,hmu,hit me up
260,hth,hope this helps
261,hwy,highway
262,icymi,in case you missed it
263,idc,i don’t care
264,idk,i do not know
265,iirc,if i recall
266,ikr,i know right
267,ily,i love you
268,imho,in my humble opinion
269,imnsho,in my not so honest opinion
270,imo,in my opinion
271,iow,in other words
272,irl,in real life
273,itt,in this thread
274,jfyi,just for your information
275,jk,just kidding
276,lmk,let me know
277,lms,like my status
278,lol,laughing out loud
279,mcm,mancrush monday
280,mmw,mark my words
281,n/a,not applicable
282,n00b,newbie
283,nm,not much
284,nntr,no need to reply
285,noob,newbie
286,noyb,none of your business
287,nrn,no reply necessary
288,nsfw,not safe for work
289,nvm,nevermind
290,omg,oh my god
291,omw,on my way
292,ootd,outfit of the day
293,op,original post
294,ot,off topic
295,otoh,on the other hand
296,pebkac,problem exists between keyboard and chair
297,potd,photo of the day
298,pov,point of view
299,ppl,people
300,ptfo,passed the fuck out
301,r,are
302,rofl,rolling on the floor laughing
303,roflmao,rolling on floor laughing my ass off
304,rotfl,rolling on the floor laughing
305,rsvp,repondez sil vous plait
306,rt,retweet
307,rtfm,read the fine manual
308,scnr,sorry could not resist
309,sflr,sorry for late reply
310,sfw,safe for work
311,smfh,shaking my fucking head
312,spoc,single point of contact
313,stfu,shut the fuck up
314,sup,what is up
315,tba,to be announced
316,tbc,to be continued
317,tbh,to be honest
318,tbt,throwback thursday
319,tgif,thanks god it is friday
320,thx,thanks
321,tia,thanks in advance
322,tmi,too much information
323,tnx,thanks
324,tq,thank you
325,ttyl,talk to you later
326,ttyn,talk to you never
327,ttys,talk to you soon
328,txt,text
329,tyt,take your time
330,tyvm,thank you very much
331,u,you
332,ur,your
333,w00t,woot
334,wcw,womancrush wednesday
335,wfm,works for me
336,wrt,with regard to
337,wtf,what the fuck
338,wth,what the hell
339,yam,yet another meeting
340,ymmd,you made my day
341,ymmv,your mileage may vary
342,yolo,you only live once
